gender,description,link_color,profileimage,sidebar_color,text,cln_desc,cln_text
female,union j xxxx,0084B4,https://pbs.twimg.com/profile_images/654390129633705984/XXhDaVch_normal.jpg,C0DEED,@ChrisAOfficial I'm on the right side_Ÿ˜‚âœŒ_Ÿè_ï¸èxxx,union j xxxx,@chrisaofficial i'm on the right side_˘˜‚âÔÓ_˘è_ï¸èxxx
male,You had me from the start,3B94D9,https://pbs.twimg.com/profile_images/648334542227513344/W82RjfX1_normal.jpg,C0DEED,"YALL LMFAOO RIGHT WHEN THE CHORUS CAME ON, A TEAR ROLLED DOWN HIS FACE https://t.co/aYuQDPtvsE",you had me from the start,yall lmfaoo right when the chorus came on a tear rolled down his face https://t.co/ayuqdptvse
male,BSc economics graduate  #COYS,0084B4,https://pbs.twimg.com/profile_images/588820454988709890/UtTyYkTY_normal.jpg,C0DEED,James Bond premier night at the @Everymancinema in Oxted with @SidiEdey. Let's hope it lives up to expectation! #SPECTRE,bsc economics graduate #coys,james bond premier night at the everymancinema in oxted with sidiedey let's hope it lives up to expectation spectre
female,Wife to my Coach. Mom to my eight troops. Follower of Christ.,0084B4,https://pbs.twimg.com/profile_images/645403816213393408/cb9Ur4jH_normal.jpg,C0DEED,@SydnieJR except once the Hallmark movies start I won't get anything done!! _Ÿ˜__Ÿ_Å_Ÿ_„,wife to my coach mom to my eight troops follower of christ.,@sydniejr except once the hallmark movies start i won't get anything done! _˘˜__˘_Å_˘_„
female,My Dms closed. | Sc: Dear_Moonshine,EEA525,https://pbs.twimg.com/profile_images/638386044862361600/HRvHRH-N_normal.jpg,EEA525,You leave the group chat for more than 2 mins and you miss made shit,my dms closed sc dear_moonshine,you leave the group chat for more than 2 mins and you miss made shit
male,"RL/writer | Lewd aspiring femboy who enjoys oneechans, girlcock, and such | RTs 2D and (softcore) 3D | R-18/NSFW | accounts listed",FE617D,https://pbs.twimg.com/profile_images/657449209440813056/xRFyqMg5_normal.png,FFFFFF,As opposed to Pump where it's like HI HOPE YOU LIKE DOING JUMPS WHERE YOU SPREAD YOUR FEET ACROSS THE ENTIRE STAGE,rl/writer lewd aspiring femboy who enjoys oneechans girlcock and such rts 2d and softcore 3d r-18/nsfw accounts listed,as opposed to pump where it's like hi hope you like doing jumps where you spread your feet across the entire stage
male,"Award Winning Author of the paranormal Romance thriller, Hath No Fury  technology writer,
http://t.co/LmMiOwenQQ #ASMSG",DD2E44,https://pbs.twimg.com/profile_images/3636528327/1830a46d522a2db8e1a5d22c2cf3b1cb_normal.jpeg,FFFFFF,All the #magic in Hath No FURY is based on REAL #Magick! https://t.co/jwpsVhAU1E,award winning author of the paranormal romance thriller hath no fury technology writer http://t.co/lmmiowenqq asmsg,all the magic in hath no fury is based on real magick https://t.co/jwpsvhau1e
female,self-proclaimed princess and occasional pain in the ass,FF55AA,https://pbs.twimg.com/profile_images/658129218543439872/LK_gbsXP_normal.jpg,FFFFFF,"Me the week of Brandon's birthday: there's no such thing as a birthday week u weirdo
Me November 1st: it's my birthday month, bow down to me",self-proclaimed princess and occasional pain in the ass,me the week of brandon's birthday there's no such thing as a birthday week u weirdo me november 1st it's my birthday month bow down to me
male,K-Smooty~I drink alot. Could be worse. I'm scrolling through your girl's nudes while watching Brady beat your team. #PatsNation #SupremeMeninist #AlwaysTurnt,0084B4,https://pbs.twimg.com/profile_images/596744881306992643/rl83cUBK_normal.jpg,C0DEED,And got more yards AND points than the Jets gave up all season. https://t.co/gdfkaOxcDD,k-smooty~i drink alot could be worse i'm scrolling through your girl's nudes while watching brady beat your team patsnation suprememeninist alwaysturnt,and got more yards and points than the jets gave up all season https://t.co/gdfkaoxcdd
male,"Free Ma Bros #EBK #OTR #Real300 !

All I Kno Is Grind Wea I Come From âœˆ",0084B4,https://pbs.twimg.com/profile_images/656370495823048704/rMQ_7I72_normal.jpg,FFFFFF,Did Alot Up In The Past Ion Wont Back,free ma bros ebk otr real300 all i kno is grind wea i come from Ôˆ,did alot up in the past ion wont back
female,penn state alum #classof2015,CC3366,https://pbs.twimg.com/profile_images/630609261278703616/LYWEZMSz_normal.jpg,DBE9ED,This boy was on the El wit his 3 daughters and they all was under 5,penn state alum classof2015,this boy was on the el wit his 3 daughters and they all was under 5
male,"Lover of Women, Dogs/cats (dogs), Movies, Comics, TV, Video Games, Books, Wrestling, existentialism Adult ent?",AB6F09,https://pbs.twimg.com/profile_images/474393325856780289/ZZBZLEz5_normal.jpeg,FFFFFF,@TheRiddler109 @CNN I mean it's not like Mainstream new media is supposed to feed you the fact nowadays...,lover of women dogs/cats dogs) movies comics tv video games books wrestling existentialism adult ent?,@theriddler109 cnn i mean it's not like mainstream new media is supposed to feed you the fact nowadays...
male,Militante y obrero de los SueÃ±os Revolucionarios desde toda la vida... Â¡Chavista de CorazÃ_n!... Â¡Comandante vives x100pre!,09A7E0,https://pbs.twimg.com/profile_images/468090201420869632/sz7Xp_ZU_normal.jpeg,BDDCAD,How many followers do you get everyday? I got 1 in the last day. Growing daily with https://t.co/JzckR3ub8H,militante y obrero de los sueÏ±os revolucionarios desde toda la vida.. Â·chavista de corazÏ_n!.. Â·comandante vives x100pre!,how many followers do you get everyday i got 1 in the last day growing daily with https://t.co/jzckr3ub8h
male,Baby I'm perfect for you @NiallOfficial,0084B4,https://pbs.twimg.com/profile_images/658304658486767616/RtiFKb9n_normal.jpg,C0DEED,"@onedirection Artist of the Year #AMAs

HO FAME",baby i'm perfect for you niallofficial,@onedirection artist of the year amas ho fame
male,Kennedy J Abulala ni mwalimu anayeienzi kazi yake.....mwalimu wa kiswahili.,0084B4,https://pbs.twimg.com/profile_images/621662235459391489/74hr0ed1_normal.jpg,C0DEED,@kbonimtetezi mheshimiwa travellers along that stretch of the road (lubao) r hurting and nobody seems to be raising this issue!,kennedy j abulala ni mwalimu anayeienzi kazi yake.....mwalimu wa kiswahili.,@kbonimtetezi mheshimiwa travellers along that stretch of the road lubao r hurting and nobody seems to be raising this issue!
male,[ Krothedj@gmail.com ] [ Instagram - DJKRO ],595952,https://pbs.twimg.com/profile_images/632280561747423233/A5Pd3nai_normal.jpg,FFFFFF,Greenville Thursday. Yall holla you need anything. Know I'm the plug, krothedj@gmail.com instagram djkro ,greenville thursday yall holla you need anything know i'm the plug
female,"Slightly ginger with blue eyes.
Park Run âù_ï¸è",0084B4,https://pbs.twimg.com/profile_images/509812651065876481/YMavGFH5_normal.jpeg,BDDCAD,@MarkHicks1204 I went to the wrong Nandos but I found you eventually #10chilliesequalsfreenandos,slightly ginger with blue eyes park run ù_ï¸è,@markhicks1204 i went to the wrong nandos but i found you eventually 10chilliesequalsfreenandos
male,Just Living Life at the top of the food chain,0084B4,https://pbs.twimg.com/profile_images/652444172604018688/RworSMcj_normal.jpg,C0DEED,@AndyRobsonTips Cardiff or drew with the over 1.5 match goals sounds good to me,just living life at the top of the food chain,@andyrobsontips cardiff or drew with the over 1.5 match goals sounds good to me
female,19 | NSS | IPGKK âœŒ,0084B4,https://pbs.twimg.com/profile_images/657087174060429312/FGik3fHx_normal.jpg,C0DEED,"Those who break the rules are scum, but those who abandon their friends are worse than scum",19 nss ipgkk ÔÓ,those who break the rules are scum but those who abandon their friends are worse than scum
male,"Home Office & Business are sweet business! I can do it , you can",0084B4,https://pbs.twimg.com/profile_images/508631838240157696/mNbhEHAR_normal.jpeg,C0DEED,"Gala Bingo clubs bought for Â£241m: The UK's largest High Street bingo operator, Gala, is being taken over byâ€_ https://t.co/XprInke1m2",home office business are sweet business i can do it you can,gala bingo clubs bought for Â£241m the uk's largest high street bingo operator gala is being taken over byâ˚_ https://t.co/xprinke1m2
female,"GoodMorning Mentions Anyone !! 

 #RETWEEET 

Must Follow Back âœ¨
 
#Fav for a Followâ™»ï¸è",0084B4,https://pbs.twimg.com/profile_images/464850935575887872/5x2iLmwY_normal.jpeg,C0DEED,"VIDEO: James Bond Spectre world premiere: After months of build up Spectre, the latestâ€_ https://t.co/uV38Wlg5bE #UK",goodmorning mentions anyone #retweeet must follow back Ô fav for a followâ™Ëï¸è,video james bond spectre world premiere after months of build up spectre the latestâ˚_ https://t.co/uv38wlg5be uk
male,The Blades. Instagram - scottryan16.,0084B4,https://pbs.twimg.com/profile_images/657855014258515969/fceiUKel_normal.jpg,C0DEED,"In the last 20 minutes that Wednesday fan has tweeted about us 3 times, no, not obsessed, not even a little bit _Ÿ˜‚_Ÿ˜‚_Ÿ˜‚_Ÿ˜‚_Ÿ˜‚_Ÿ˜‚_Ÿ˜‚_Ÿ˜‚_Ÿ˜‚_Ÿ˜‚_Ÿ˜‚_Ÿ˜‚_Ÿ˜‚_Ÿ˜‚_Ÿ˜‚",the blades instagram scottryan16.,in the last 20 minutes that wednesday fan has tweeted about us 3 times no not obsessed not even a little bit _˘˜‚_˘˜‚_˘˜‚_˘˜‚_˘˜‚_˘˜‚_˘˜‚_˘˜‚_˘˜‚_˘˜‚_˘˜‚_˘˜‚_˘˜‚_˘˜‚_˘˜‚
female,"This is control. 
Jpn versionâ‡’ @Zoe_o_Jbot            Rayark-Implosion",0084B4,https://pbs.twimg.com/profile_images/607553110693666816/0NPWHIZh_normal.jpg,C0DEED,"Once it is complete, it will lift off and attempt to connect with the alpha point of the rift we are observing. (1-2)",this is control jpn versionâ‡ı zoe_o_jbot rayark-implosion,once it is complete it will lift off and attempt to connect with the alpha point of the rift we are observing 1-2)
female,ask no questions and you'll get no lies @spoopytaylor,0084B4,https://pbs.twimg.com/profile_images/657574153340518400/V0wZgnCd_normal.jpg,C0DEED,@wishbonecon are u going to the 1.30 one ??,ask no questions and you'll get no lies spoopytaylor,@wishbonecon are u going to the 1.30 one ?
female,"Born in Czech Republic, live in Ireland, wanna be in Germany.
OUAT â€¢ OITNB",DD2E44,https://pbs.twimg.com/profile_images/559754714544214016/dnWFn_jB_normal.jpeg,C6E2EE,"https://t.co/nRN2mGLd2E
Am I the only one who loves the part with Merlin and Regina's face? :D #OUAT",born in czech republic live in ireland wanna be in germany ouat ˚ oitnb,https://t.co/nrn2mgld2e am i the only one who loves the part with merlin and regina's face d ouat
male,' You are to me All that an angel could be. ' *à_ƒâ‹†,ABB8C2,https://pbs.twimg.com/profile_images/655712588018372609/aZaDsHos_normal.jpg,FFFFFF,"@Harry_Styles always remember, never forget you're the best and the greatest in the world just being you always you till the end of time YOU", you are to me all that an angel could be à_‰â¸ ,@harry_styles always remember never forget you're the best and the greatest in the world just being you always you till the end of time you
male,"Following the Money, Opening Governance, Fighting Corruption!                @GlobalIntegrity @OpenGovHub  Tweets my own.",FF0000,https://pbs.twimg.com/profile_images/1685539408/AH92_normal.jpg,F2E195,The POLITICS of evidence + results in international development. https://t.co/T7N2c2TTBf - Looks great. h/t @duncan_ids @rosalindeyben +,following the money opening governance fighting corruption @globalintegrity opengovhub tweets my own.,the politics of evidence results in international development https://t.co/t7n2c2ttbf looks great h/t duncan_ids rosalindeyben 
female,"Retired Bad Girl. 
â€¢â€¢ QUEEN! â€¢â€¢",990000,https://pbs.twimg.com/profile_images/657997085665591296/Ox0fNbDT_normal.jpg,DFDFDF,"Please God, let me get a house that has a fireplace in the bedroom!! I have such great ideas for such a room..",retired bad girl â˚¢â˚ queen ˚¢â˚¢,please god let me get a house that has a fireplace in the bedroom! i have such great ideas for such a room..
female,walk by faith not by sight.,0084B4,https://pbs.twimg.com/profile_images/642457438851993605/H4EfbYcn_normal.jpg,C0DEED,that's the 8% they have hidden.. UMPH. https://t.co/OnebBSAG93,walk by faith not by sight.,that's the 8 they have hidden. umph https://t.co/onebbsag93
male,Apollo bot pulling from both AJ and DD. Randomly posts every hour. Spoilers abound. Under construction. Progress: 4-2 (75% complete).,0084B4,https://pbs.twimg.com/profile_images/602117524637888512/s48xMoEi_normal.png,C0DEED,"(Surgical enhancements are for a different part of the body, and, I was kidding...)",apollo bot pulling from both aj and dd randomly posts every hour spoilers abound under construction progress 4-2 75 complete).,(surgical enhancements are for a different part of the body and i was kidding...)
male,â˜Åï¸èÂ©,0084B4,https://pbs.twimg.com/profile_images/656619794423263232/e9r_l786_normal.jpg,C0DEED,I swear if she touches me one more time. _Ÿ˜__Ÿ˜_ she pisses me off. It's stupid cause my friends fall for the trick as well _Ÿ˜‘,â˜Åï¸èÂ©,i swear if she touches me one more time _˘˜__˘˜_ she pisses me off it's stupid cause my friends fall for the trick as well _˘˜Ù
female,"Wife of Tidy Boy Amadeus, director of The Ideal Place and proud mother of Max Mozart",0084B4,https://pbs.twimg.com/profile_images/2240414271/image_normal.jpg,C0DEED,bad day in the office - but nice to catch up with @thedjbrisk so wish we had more time to catch up x,wife of tidy boy amadeus director of the ideal place and proud mother of max mozart,bad day in the office but nice to catch up with thedjbrisk so wish we had more time to catch up x
female,A lie gets halfway around the world before the truth has a chance to get its pants on.,0084B4,https://pbs.twimg.com/profile_images/634770327914987520/3mQYlBPd_normal.jpg,C0DEED,"James Walter invented the bolt-action rifle, liquor, sexual intercourse, and football-- in that order.",a lie gets halfway around the world before the truth has a chance to get its pants on.,james walter invented the bolt-action rifle liquor sexual intercourse and football- in that order.
male,"Lover of the truth, seeker of knowledge",0084B4,https://pbs.twimg.com/profile_images/613343268689051649/N84-CSxs_normal.jpg,C0DEED,@Lov3rzWorldwide Say He is the one. The eternal. He doesn't have kids nor did anyone have Him. There is nothing like The One.,lover of the truth seeker of knowledge,@lov3rzworldwide say he is the one the eternal he doesn't have kids nor did anyone have him there is nothing like the one.
female,Calm and Collected. #FollowBackAndSee,0084B4,https://pbs.twimg.com/profile_images/579284873791324160/C71fhLG__normal.jpg,C0DEED,Amazing: See Igbo Village In The United States OfÂ America https://t.co/Z8A95hAQpE https://t.co/qdQ6HnE735,calm and collected followbackandsee,amazing see igbo village in the united states ofÂÍamerica https://t.co/z8a95haqpe https://t.co/qdq6hne735
female,Artist â†’ Re-evaluating lifeâ†’Radiation Oncology studentâ†’Want 2 make a +ve differenceâ†’Comedianâ†’Rule-Breaker â†’  @FORCElecturesâ†’  LIVE DRAWZ! http://t.co/Nsf5Zd0hfY,FF0877,https://pbs.twimg.com/profile_images/602082590074544128/Rg2OGP-d_normal.jpg,FFFFFF,"@R_M_Appleyard alarm wont work as you can't time the stops in Leeds. Too much traffic ect. A 20min bus ride can take 50 or 12 mins, ya know?",artist ı re-evaluating life ıradiation oncology student ıwant 2 make a ve difference ıcomedian ırule-breaker ı @forcelectures ı live drawz http://t.co/nsf5zd0hfy,@r_m_appleyard alarm wont work as you can't time the stops in leeds too much traffic ect a 20min bus ride can take 50 or 12 mins ya know?
male,"I repair all makes and models of phones, tablets,  mp3 players &  more! I've  been professionally repairing electronic equipment since 1988!",0084B4,https://pbs.twimg.com/profile_images/502497418664247298/TFiInDrP_normal.jpeg,C0DEED,"@TekifyUK I am trying to unbrick my Kindle fire, with a red screen. I followed your youtube video, and am using the unbrick tool.",i repair all makes and models of phones tablets mp3 players more i've been professionally repairing electronic equipment since 1988!,@tekifyuk i am trying to unbrick my kindle fire with a red screen i followed your youtube video and am using the unbrick tool.
female,Charity volunteer,9D582E,https://pbs.twimg.com/profile_images/587683229722877952/SOkhPUxB_normal.png,D9B17E,Move Of The Week Double Leg Stretch â€_ : https://t.co/kxkCEFUxQB ... https://t.co/n7PtOHGaPQ,charity volunteer,move of the week double leg stretch ˚_ https://t.co/kxkcefuxqb . https://t.co/n7ptohgapq
male,"Maker, Conceptor & Creative Developer - 0xBAC3A9BD - #conception #geek #dev #agile #neutralite #opensource #privacy #copyright",107FC9,https://pbs.twimg.com/profile_images/643511925532397568/hjSpxYYZ_normal.jpg,FFFFFF,Reimagining the #webdesign process by @InVisionApp - https://t.co/Vmb0OZU67e https://t.co/hFlWR8tfOl,maker conceptor creative developer 0xbac3a9bd conception geek dev agile neutralite opensource privacy copyright,reimagining the webdesign process by invisionapp https://t.co/vmb0ozu67e https://t.co/hflwr8tfol
male,Calm And Cool,0099B9,https://pbs.twimg.com/profile_images/654408635624374273/W6M8MAEb_normal.jpg,5ED4DC,@deptulahasrage Clemson only need to stack the line against FSU then they may not even score,calm and cool,@deptulahasrage clemson only need to stack the line against fsu then they may not even score
female,I only trust people that like big butts. They cannot lie.,0084B4,https://pbs.twimg.com/profile_images/651146254521466880/eAuUwatH_normal.jpg,C0DEED,The accuracy though lol  https://t.co/frFforEeLC,i only trust people that like big butts they cannot lie.,the accuracy though lol https://t.co/frfforeelc
male,dont take my tweets serious and if you do... *shrugs* Shit happens...... look at my link and pin. i have no reason to be on here now.,990000,https://pbs.twimg.com/profile_images/655078683007283200/w9kQ_VYL_normal.jpg,FFFFFF,"Im weakkkkk_Ÿ˜‚_Ÿ˜‚_Ÿ˜‚_Ÿ˜‚_Ÿ˜‚
Tbh thats the only way to shut down girls who flex",dont take my tweets serious and if you do.. shrugs shit happens..... look at my link and pin i have no reason to be on here now.,im weakkkkk_˘˜‚_˘˜‚_˘˜‚_˘˜‚_˘˜‚ tbh thats the only way to shut down girls who flex
female,"Community Outreach. Medicaid Managed Care
Board Member United Way Chicago
M.A. Gerontology. Advocate for Underserved Communities. ISU Alumni. Î”Î£Î˜",0084B4,https://pbs.twimg.com/profile_images/649597416367345664/t6N81DpM_normal.jpg,C0DEED,"Thanks to the #ACA more adults are eligible for #Medicaid in #Illinois &amp; able to apply online.  @YoungInvincible

https://t.co/cfwlLqv4K9",community outreach medicaid managed care board member united way chicago m.a gerontology advocate for underserved communities isu alumni ÎÛÎ£Î˜,thanks to the aca more adults are eligible for medicaid in illinois amp able to apply online @younginvincible https://t.co/cfwllqv4k9
male,Idiot from Baltimore who thinks he is funny.,994700,https://pbs.twimg.com/profile_images/641986326477303808/kbf-w6AD_normal.jpg,FFFFFF,@paulmgardner @cwellssun I knew a guy who was in the military who used it because it doesn't show up on drug tests.,idiot from baltimore who thinks he is funny.,@paulmgardner cwellssun i knew a guy who was in the military who used it because it doesn't show up on drug tests.
male,computer engineer @ Khalifa university,0084B4,https://pbs.twimg.com/profile_images/582451412853874688/WUK-c-Bl_normal.jpg,C0DEED,"My mom listening to ""Hello"" what's happening to the world",computer engineer khalifa university,my mom listening to hello what's happening to the world
female,|Studying At Dillard University| |Dr.Williams|,0084B4,https://pbs.twimg.com/profile_images/655922626695598080/DY90mawX_normal.jpg,C0DEED,"If ion work one job , I work the other .",|studying at dillard university dr.williams|,if ion work one job i work the other 
female,Leonel Dominic,0084B4,https://pbs.twimg.com/profile_images/658120358571196416/owZaYiVc_normal.jpg,C0DEED,Lrt me at work allllllllllllllll the time!!!!!,leonel dominic,lrt me at work allllllllllllllll the time!!!!!
female,"How to Quit Paying for Expensive Medical Visits and Fake Fixes, and Eliminate His Frustrating, Nagging and Constantly Repeating Low Back Pain.",0000FF,https://pbs.twimg.com/profile_images/441066015640666112/AWytWS1a_normal.jpeg,C0DEED,"Flexible Diet Plan: Revealed for the first time, secret methods for losing weight, without having to give upâ€_ https://t.co/yGQYYVCYKi",how to quit paying for expensive medical visits and fake fixes and eliminate his frustrating nagging and constantly repeating low back pain.,flexible diet plan revealed for the first time secret methods for losing weight without having to give upâ˚_ https://t.co/ygqyyvcyki
male,"born london, grew up basildon, lived cornwall,  most of that at sea. makes no sense. but that's fine.",352FEB,https://pbs.twimg.com/profile_images/1377351428/marrok.logo_normal.jpg,C0DEED,Total loss of respect for the little twat https://t.co/eQstpYJEck,born london grew up basildon lived cornwall most of that at sea makes no sense but that's fine.,total loss of respect for the little twat https://t.co/eqstpyjeck
male,i just signed myself,73A1A9,https://pbs.twimg.com/profile_images/653588084282556420/b1WTamg1_normal.jpg,FFFFFF,"he needs his own intro for when you pick up the phone 'CLIFFORD ELLIS, THE GREATEST BROCKER IN THE WORLD' lmfao",i just signed myself,he needs his own intro for when you pick up the phone clifford ellis the greatest brocker in the world lmfao
male,"Journalist and producer with @camanpour on @cnni. Always open to a spicy taco. Views are my own, RT â‰  endorsement, duh.",128A8A,https://pbs.twimg.com/profile_images/652496810557222912/__1J0NiS_normal.jpg,87BC44,Fortune favors the funny in Guatemala election: https://t.co/E1Qa16AweK https://t.co/c8nvJn3VaN,journalist and producer with camanpour on cnni always open to a spicy taco views are my own rt ‰Í endorsement duh.,fortune favors the funny in guatemala election https://t.co/e1qa16awek https://t.co/c8nvjn3van
female,Your brain is that bodily organ which starts working the moment you awake and does not stop until you get into the class.,0084B4,https://pbs.twimg.com/profile_images/578719023426248704/0toNxk5e_normal.jpeg,C0DEED,Would â€˜The Affairâ€™ Be Easier To Watch If The Kids Werenâ€™t Such Brats? [Spoilers]: The Showtime series The Affa... https://t.co/o6jpVaUFdz,your brain is that bodily organ which starts working the moment you awake and does not stop until you get into the class.,would ˚˜the affairâ˚™ be easier to watch if the kids werenâ˚™t such brats spoilers] the showtime series the affa.. https://t.co/o6jpvaufdz
female,NO 1 9ja online GIST | Entertainment | News  | Musics | Videos | Events | Celebrity focus | Interviews | Life Style | Fashion | #VideoDIRECTOR(@mc_expy),0084B4,https://pbs.twimg.com/profile_images/544434415527415809/dYWDptQe_normal.jpeg,C0DEED,"NBD, This Comet Is Spewing Gallons of Wine In Space: Scientists have discovered that the comet Lovejoy is spew... https://t.co/42Fa4wwoA1",no 1 9ja online gist entertainment news musics videos events celebrity focus interviews life style fashion videodirector(@mc_expy),nbd this comet is spewing gallons of wine in space scientists have discovered that the comet lovejoy is spew.. https://t.co/42fa4wwoa1
male,hollow heart.,2FC2EF,https://pbs.twimg.com/profile_images/422040340015497216/yzLGvLtX_normal.png,FFFFFF,Stats for the day have arrived. 1 new unfollower. Stats via https://t.co/VuMDKp70A7.,hollow heart.,stats for the day have arrived 1 new unfollower stats via https://t.co/vumdkp70a7.
female,It hurts to let go. Sometimes it seems the harder you try to hold on to something or someone the more it wants to get away.,0000FF,https://pbs.twimg.com/profile_images/533136162924158976/HOP_uILr_normal.jpeg,FFFFFF,#VivienLeigh Gone With The Wind Clark Gable Vivien Leigh #Photo https://t.co/yVO2B34jrw #Film #Actress,it hurts to let go sometimes it seems the harder you try to hold on to something or someone the more it wants to get away.,#vivienleigh gone with the wind clark gable vivien leigh photo https://t.co/yvo2b34jrw film actress
female,â™¡ â™¡,9266CC,https://pbs.twimg.com/profile_images/657247714854440961/Pqjzi2UP_normal.jpg,FFFFFF,good seeing you tonight @Caspar_Lee _Ÿ˜˜ enjoy the film xx,â™· ™·,good seeing you tonight caspar_lee _˘˜ enjoy the film xx
female,"Just a girl in love with God. Pole vaulting, lifting, reading and horseback riding are my passions. Country loving small town girl!",0084B4,https://pbs.twimg.com/profile_images/484636447576571905/uIDd3p4V_normal.jpeg,C0DEED,Photo: The Fellowship of the Ring: Book One in the Lord of the Ringsâ€_: https://t.co/4A1v5WdDd4 https://t.co/Hyosq3fr5e,just a girl in love with god pole vaulting lifting reading and horseback riding are my passions country loving small town girl!,photo the fellowship of the ring book one in the lord of the ringsâ˚_ https://t.co/4a1v5wddd4 https://t.co/hyosq3fr5e
male,Everything I do need a news crew's presence.,0084B4,https://pbs.twimg.com/profile_images/511254006237126656/oRsrapRC_normal.jpeg,C0DEED,Photo: Snow Queen - Vlad Barbe | Kids &amp; Family |716822518: The Snow Queen is a fairy tale by Hans Christian... https://t.co/CC4qqNHvjY,everything i do need a news crew's presence.,photo snow queen vlad barbe kids amp family 716822518 the snow queen is a fairy tale by hans christian.. https://t.co/cc4qqnhvjy
female,"EntÃ£o estÃ¡ bem.
18. Sporting Clube de Portugal. 1906",2FC2EF,https://pbs.twimg.com/profile_images/614839389634568192/BhzOHcNO_normal.jpg,FFFFFF,"Fool me three times, fuck the peace signs
Load the chopper, let it rain on you",entÏ£o estÏ· bem 18 sporting clube de portugal 1906,fool me three times fuck the peace signs load the chopper let it rain on you
